Benchmark,TimeScoreUs,TimeErrorUs,AllocationBytes
io.github.realmlabs.klua.jmh.CompileBenchmark.compileNumericLoop,10.219907,8.946633,21336.007556
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeBreakpointObserverWithoutHit,1059.243785,254.842885,481480.703956
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeBreakpointStepAndContinue,1264.565649,492.584300,493373.452543
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeCountHook,1076.771275,1071.089477,491002.850980
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeDebugDisabled,465.275284,54.438747,1179.061363
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeDebugEnabledWithoutObserver,454.165607,73.648763,1175.366940
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeInstructionBudgetDisabled,465.749499,38.341595,1176.522608
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeInstructionBudgetEnabled,467.575396,52.524290,1193.282511
io.github.realmlabs.klua.jmh.ExecutionControlBenchmark.executeLineHook,5224.082015,455.256160,17765064.383044
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeClosureCounter,2160.662286,876.112716,1363943.176271
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeCoroutineYieldResume,21821.253791,3995.558746,28241290.182989
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeEntityUpdateKernel,5435.379945,506.894844,2200404.093544
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeHostCalls,3480.220442,643.553470,9678560.861275
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeIndexMetamethodCalls,2445.502242,861.968184,1773863.317268
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeJvmToLuaCalls,4270.248400,3144.086817,8711242.961717
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeLuaCalls,2193.987146,523.471024,1442250.477144
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeMethodCalls,4467.955227,1081.004911,2003868.814168
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeRecursiveFibonacci,5035.764479,1648.813307,4994222.459292
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeStringConcatenation,709.914205,792.058186,585244.360175
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeTableReadWrite,1841.683977,754.198416,298810.614578
io.github.realmlabs.klua.jmh.RuntimeWorkloadBenchmark.executeVarargMultiReturn,4222.591970,827.625684,2002868.331064
io.github.realmlabs.klua.jmh.VmExecutionBenchmark.executeNumericLoop,669.671648,54.620217,1255.917755
